"&","&amp;","&#38;","&#x0026;","yes",1
"Η","&Eta;","&#919;","&#x0397;","no",-1
"η","&eta;","&#951;","&#x03B7;","no",-1
"Ð","&ETH;","&#208;","&#x00D0;","no",-1
"ð","&eth;","&#240;","&#x00F0;","no",-1
"Ë","&Euml;","&#203;","&#x00CB;","no",-1
"ë","&euml;","&#235;","&#x00EB;","no",-1
"€","&euro;","&#8364;","&#x20AC;","no",-1
"∃","&exist;","&#8707;","&#x2203;","no",-1
"ƒ","&fnof;","&#402;","&#x0192;","no",-1
"∀","&forall;","&#8704;","&#x2200;","no",-1
"½","&frac12;","&#189;","&#x00BD;","no",-1
"¼","&frac14;","&#188;","&#x00BC;","no",-1
"¾","&frac34;","&#190;","&#x00BE;","no",-1
"⁄","&frasl;","&#8260;","&#x2044;","no",-1
"Γ","&Gamma;","&#915;","&#x0393;","no",-1
"γ","&gamma;","&#947;","&#x03B3;","no",-1
"≥","&ge;","&#8805;","&#x2265;","no",-1
"↔","&harr;","&#8596;","&#x2194;","no",-1
"⇔","&hArr;","&#8660;","&#x21D4;","no",-1
"♥","&hearts;","&#9829;","&#x2665;","no",-1
"…","&hellip;","&#8230;","&#x2026;","no",-1
"Í","&Iacute;","&#205;","&#x00CD;","no",-1
"í","&iacute;","&#237;","&#x00ED;","no",-1
"Î","&Icirc;","&#206;","&#x00CE;","no",-1
"î","&icirc;","&#238;","&#x00EE;","no",-1
"¡","&iexcl;","&#161;","&#x00A1;","no",-1
"Ì","&Igrave;","&#204;","&#x00CC;","no",-1
"ì","&igrave;","&#236;","&#x00EC;","no",-1
"ℑ","&image;","&#8465;","&#x2111;","no",-1
"∞","&infin;","&#8734;","&#x221E;","no",-1
"∫","&int;","&#8747;","&#x222B;","no",-1
"Ι","&Iota;","&#921;","&#x0399;","no",-1
"ι","&iota;","&#953;","&#x03B9;","no",-1
"¿","&iquest;","&#191;","&#x00BF;","no",-1
"∈","&isin;","&#8712;","&#x2208;","no",-1
"Ï","&Iuml;","&#207;","&#x00CF;","no",-1
"ï","&iuml;","&#239;","&#x00EF;","no",-1
"Κ","&Kappa;","&#922;","&#x039A;","no",-1
"κ","&kappa;","&#954;","&#x03BA;","no",-1
"Λ","&Lambda;","&#923;","&#x039B;","no",-1
"λ","&lambda;","&#955;","&#x03BB;","no",-1
"〈","&lang;","&#9001;","&#x2329;","no",-1
"«","&laquo;","&#171;","&#x00AB;","no",-1
"←","&larr;","&#8592;","&#x2190;","no",-1
"⇐","&lArr;","&#8656;","&#x21D0;","no",-1
"⌈","&lceil;","&#8968;","&#x2308;","no",-1
"“","&ldquo;","&#8220;","&#x201C;","no",-1
